Porto Velho;IDH-M alto
Vilhena;IDH-M alto
Cacoal;IDH-M alto
Ji-Paraná;IDH-M alto
Pimenta Bueno;IDH-M alto
Ariquemes;IDH-M alto
Rolim de Moura;IDH-M alto
Cerejeiras;IDH-M médio
Jaru;IDH-M médio
Colorado do Oeste;IDH-M médio
Ouro Preto do Oeste;IDH-M médio
Espigão d'Oeste;IDH-M médio
Santa Luzia d'Oeste;IDH-M médio
Pimenteiras do Oeste;IDH-M médio
Presidente Médici;IDH-M médio
Castanheiras;IDH-M médio
Guajará-Mirim;IDH-M médio
Chupinguaia;IDH-M médio
Cabixi;IDH-M médio
Candeias do Jamari;IDH-M médio
São Felipe d'Oeste;IDH-M médio
Cacaulândia;IDH-M médio
São Miguel do Guaporé;IDH-M médio
Mirante da Serra;IDH-M médio
Alvorada d'Oeste;IDH-M médio
Teixeirópolis;IDH-M médio
Nova Brasilândia d'Oeste;IDH-M médio
Rio Crespo;IDH-M médio
Primavera de Rondônia;IDH-M médio
Alta Floresta d'Oeste;IDH-M médio
Ministro Andreazza;IDH-M médio
Novo Horizonte do Oeste;IDH-M médio
Vale do Paraíso;IDH-M médio
Alto Paraíso;IDH-M médio
Parecis;IDH-M médio
Buritis;IDH-M médio
Itapuã do Oeste;IDH-M médio
Corumbiara;IDH-M médio
Cujubim;IDH-M médio
Costa Marques;IDH-M médio
São Francisco do Guaporé;IDH-M médio
Urupá;IDH-M médio
Monte Negro;IDH-M médio
Seringueiras;IDH-M baixo
Governador Jorge Teixeira;IDH-M baixo
Machadinho d'Oeste;IDH-M baixo
Campo Novo de Rondônia;IDH-M baixo
Alto Alegre dos Parecis;IDH-M baixo
Theobroma;IDH-M baixo
Nova União;IDH-M baixo
Nova Mamoré;IDH-M baixo
Vale do Anari;IDH-M baixo
