Ariquemes;Desenvolvimento moderado
Vilhena;Desenvolvimento moderado
Pimenta Bueno;Desenvolvimento moderado
Porto Velho;Desenvolvimento moderado
Ji-Paraná;Desenvolvimento moderado
Cacoal;Desenvolvimento moderado
Santa Luzia d'Oeste;Desenvolvimento moderado
Rolim de Moura;Desenvolvimento moderado
Chupinguaia;Desenvolvimento moderado
São Miguel do Guaporé;Desenvolvimento moderado
Pimenteiras do Oeste;Desenvolvimento moderado
Teixeirópolis;Desenvolvimento moderado
Colorado do Oeste;Desenvolvimento moderado
Jaru;Desenvolvimento moderado
Rio Crespo;Desenvolvimento moderado
Primavera de Rondônia;Desenvolvimento moderado
Alta Floresta d'Oeste;Desenvolvimento moderado
Ouro Preto do Oeste;Desenvolvimento moderado
São Francisco do Guaporé;Desenvolvimento moderado
Candeias do Jamari;Desenvolvimento moderado
Buritis;Desenvolvimento moderado
São Felipe d'Oeste;Desenvolvimento moderado
Presidente Médici;Desenvolvimento moderado
Cerejeiras;Desenvolvimento moderado
Monte Negro;Desenvolvimento moderado
Urupá;Desenvolvimento moderado
Espigão d'Oeste;Desenvolvimento regular
Seringueiras;Desenvolvimento regular
Alvorada d'Oeste;Desenvolvimento regular
Itapuã do Oeste;Desenvolvimento regular
Cabixi;Desenvolvimento regular
Novo Horizonte do Oeste;Desenvolvimento regular
Nova Brasilândia d'Oeste;Desenvolvimento regular
Vale do Paraíso;Desenvolvimento regular
Corumbiara;Desenvolvimento regular
Alto Paraíso;Desenvolvimento regular
Cacaulândia;Desenvolvimento regular
Vale do Anari;Desenvolvimento regular
Ministro Andreazza;Desenvolvimento regular
Costa Marques;Desenvolvimento regular
Nova União;Desenvolvimento regular
Guajará-Mirim;Desenvolvimento regular
Mirante da Serra;Desenvolvimento regular
Parecis;Desenvolvimento regular
Castanheiras;Desenvolvimento regular
Theobroma;Desenvolvimento regular
Machadinho d'Oeste;Desenvolvimento regular
Campo Novo de Rondônia;Desenvolvimento regular
Nova Mamoré;Desenvolvimento regular
Cujubim;Desenvolvimento regular
Alto Alegre dos Parecis;Desenvolvimento regular
Governador Jorge Teixeira;Desenvolvimento regular
